tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554149574532644871,1519186857820626944,nocontextfooty post made realize messi goat,en,20220801T16 58 27 000Z,Twitter iPhone,,0,47,0
1554149569625309184,1202848054635876352,pridspridmore BadFutbolTakes Messi put best CL final performance time vs club ,en,20220801T16 58 26 000Z,Twitter iPhone,,0,0,0
1554149557272969222,1482811695462498308,CristianoXtra I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 23 000Z,Twitter Android,,0,1,0
1554149534011461635,1541803027547439106,realJMelo leocallaghan15 arifjoe71 Messi statistics attributes Ronaldo point trying prove plus sancho record last 3 years speak wise,en,20220801T16 58 18 000Z,Twitter Android,,0,0,0
1554149533101293568,1482811695462498308,Cristiano I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 18 000Z,Twitter Android,,0,0,0
1554149530102140928,1515662588855533569,nocontextfooty Messi overrated player time ,en,20220801T16 58 17 000Z,Twitter Android,,0,31,0
1554149507113238534,1268805325416738817,GamerIneffable Mf Messi left birthday last year I deserve happiness,en,20220801T16 58 11 000Z,Twitter Android,,0,2,0
1554149504378716160,1482811695462498308,SunManUtd I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 11 000Z,Twitter Android,,0,0,0
1554149487752359936,1469958708780146690,factosonly TimelineCR7 Messi offered EPL Big 6 club EPL club rejected Messi like Pendu rejected every club Calm buddy it’s opinion journalists can’t read “MESSI WOULDN’T GET IN EPL TOP 6 NOW” wrote Messi rejected ,en,20220801T16 58 07 000Z,Twitter iPhone,,0,1,0
1554149482715037702,1291496848360964101,BruceTWhite1 Lionel30i Yes I’m also huge fan Messi ✊,en,20220801T16 58 06 000Z,Twitter iPhone,,0,3,0
1554149481779798018,963231286398734336,scleary52 ESPNFC Bro difference stats respected “positions” Goalscorer vs playmaker vast CR7 45 goals even though he’s called “goalscorer” Messi 100 assists ,en,20220801T16 58 05 000Z,Twitter iPhone,,0,1,0
1554149471512014848,1235271856724168704,R33CE3PE ShamsCharania TheAthletic Stadium soccer clearly messi better Ronaldo everyone’s eyes lmao even kylian mbappe waaay better Ronaldo Issok ur Ronaldo model ,en,20220801T16 58 03 000Z,Twitter iPhone,,0,0,0
1554149448288190466,1482811695462498308,I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 57 57 000Z,Twitter Android,,0,0,0
1554149445440360449,1549796729981214723,nocontextfooty Context messi doesn’t broke kid’s phone,en,20220801T16 57 57 000Z,Twitter iPhone,,1,535,0
1554149432689659904,1013864160117940225,JoeTech99 JaimyRM buddhaboy372 In audio got leaked considering coaching Argentina said take Ronaldo Messi lmao If admits truth press conference Atletico fans kill also Argentine Messi fans lol,en,20220801T16 57 54 000Z,Twitter Android,,0,2,0
1554149432261808129,1424958086658334720,Jorge20171725 VettelAMR Messi goals head head assists head head ,en,20220801T16 57 54 000Z,Twitter iPhone,,0,0,0
1554149424862875648,1187454440619442176,"BridglallS44 cr7raprhymes ESPNFC Let’s switch players onto different teams see G/A I’m willing bet $100 bucks Messi wouldn’t survive England Put Crystal Palace even Newcastle, would flop ",en,20220801T16 57 52 000Z,Twitter iPhone,,0,4,0
1554149404289925120,1076708692458901504,nocontextfooty I’m best rapper like Messi ,en,20220801T16 57 47 000Z,Twitter iPhone,,0,0,0
1554149381951180806,873637525734252545,"TimelineCR7 balloon d numbers way around,Ronaldo won times messi,he won champions League 5 times 4 real,in 5 years something like that,and like Alex Ferguson said Ronaldo started LA Liga,his goals would b twice hs",en,20220801T16 57 42 000Z,Twitter Android,,0,5,0
1554149378310504457,1445114704272240652,"Eruma27 SmTive barcar08 Lfcbrazyyy Messi Brokelona finished , Kounde said joined 2 years time club , liquidate sold everything sign bum average players",en,20220801T16 57 41 000Z,Twitter iPhone,,0,0,0
1554149366549696512,104959522,Ash7 gggzuij WiseCuler moosenmooth XDVXY10i Scored 100goals n killed psgwe prefer Messi,en,20220801T16 57 38 000Z,Twitter iPhone,,0,0,0
1554149357766774784,724861499022434305,damianmarley ziggymarley stephenmarley bobmarley nanaritamarley SouthAfrica luckydube69 jfffootball happy Emancipation Day ONE LOVE F R I C Big Ivy Togbe Lionel Messi Bawumia Haaland Ghana card Zulu ,en,20220801T16 57 36 000Z,Twitter iPhone,,0,2,0
1554149344856510465,1553436719352991744,Remember moment Kevin de brayne mocked Haaland celebration Click watch Haaland ManCity ManCityvsLiverpool foden Ronaldo Messi mancity kevin grealish ,en,20220801T16 57 33 000Z,Twitter Android,,0,1,0
1554149332567203841,1478390920064249859,Lionel30i I love messi,en,20220801T16 57 30 000Z,Twitter Android,,0,0,0
1554149275524861952,1135690197570654209,Olabosipo9 fairlyoddtweet cfcclint ShandilCr7 UtdKeza TenSlag It turned clearly bias Ronaldo don’t keep energy wouldn’t saying shit Messi rt tweets disrespect club legend won countless trophies club prop Messi can’t United fan,en,20220801T16 57 16 000Z,Twitter iPhone,,0,0,0
1554149244008861699,1151548906037239808,MmoaNkoaaa Bhimgains stonebwoy shattawalegh amaarae pianosecretary shattadede CSexier shattawaleLG themarcoliboy surprised Messi fan allergic truth ,en,20220801T16 57 09 000Z,Twitter iPhone,,0,0,0
1554149238526955522,1549662289468563457,cheryjose72 BobRosssDad2 PSGEnglish Messi better efficient,en,20220801T16 57 07 000Z,Twitter iPhone,,0,0,0
1554149229236461569,1551277675318222848,ESPNFC Biased don't guys change name ESPNFC Messi FC whenever post something sounds like Messi fan club posting guys don't deserve call journalist ,en,20220801T16 57 05 000Z,Twitter Android,,0,0,0
1554149223918055424,1358861294468812813,This pic bigger messi psg career ,en,20220801T16 57 04 000Z,Twitter Android,,0,4,0
1554149222680772617,41429508,"ChizzyVII me, Messi dies, doesn't feel right saying another player best",en,20220801T16 57 04 000Z,Twitter Android,003e299707d0375b,0,0,0
1554149212547342336,1284494523884802051,"LFCAmr Can't believe Messi,Ney Ramos lucky enough play Mostafa himself",en,20220801T16 57 01 000Z,Twitter Android,,0,1,0
1554149208709545985,149089901,FC Barcelona hold beer selling 25% future Messi Ballon D’or 23/24 ,en,20220801T16 57 00 000Z,Twitter iPhone,983a7dea07a7bcd4,0,0,0
1554149140497580034,1494949569934802945,"Ronaldo fans hilarious, they’ll ignore slander Messi make seem like it’s world ",en,20220801T16 56 44 000Z,Twitter iPhone,,0,1,0
